object_type,n,k,trial,instance_seed,r,rho,hidden_line_count,approx_lines,exact_lines,line_count_ratio,exact_match,approx_runtime_seconds,exact_runtime_seconds,candidate_lines,graph_nodes,graph_edges,exact_candidates,exact_combinations_checked,maximum_realised_distance
point,8,2,6,1404192401,1.5,nan,2,2,2,1.0,True,4.7915964387357235e-05,0.00010862504132091999,8,8,7,21,47,1.4228248717894552
point,8,2,7,525036721,1.5,nan,2,2,2,1.0,True,4.924996756017208e-05,0.00012016703840345144,8,8,6,23,152,1.4595836472086035
point,8,2,8,1737200687,1.5,nan,2,3,2,1.5,False,4.454201553016901e-05,0.00011283298954367638,7,7,5,24,86,1.129200329495692
point,8,2,9,753682056,1.5,nan,2,3,2,1.5,False,5.508295726031065e-05,0.00012262503150850534,8,8,7,21,208,1.4269250255326114
point,8,2,10,1698113807,1.5,nan,2,2,2,1.0,True,4.591606557369232e-05,0.00012516591232270002,8,8,7,25,56,1.4610309805374908
point,8,2,11,1111797501,1.5,nan,2,2,1,2.0,False,0.0001166659640148282,0.0001558329677209258,7,7,6,27,20,1.3698908799940348
point,8,2,12,676025120,1.5,nan,2,4,2,2.0,False,6.079103332012892e-05,0.00012816698290407658,10,10,8,22,230,1.4636256457311587
point,8,2,13,1859887161,1.5,nan,2,2,2,1.0,True,4.64579788967967e-05,0.00011641706805676222,6,6,6,26,105,1.3681702094616508
point,8,2,14,394295205,1.5,nan,2,3,2,1.5,False,4.5584049075841904e-05,0.0003149170661345124,7,7,7,25,101,1.2657722074867706
point,8,3,0,39318410,1.5,nan,3,3,2,1.5,False,6.262492388486862e-05,0.00012037495616823435,8,8,6,21,65,1.172742195817829
point,8,3,1,443240547,1.5,nan,3,4,3,1.3333333333333333,False,5.566701292991638e-05,0.00025045895017683506,9,9,8,21,684,1.4434682332863904
point,8,3,2,562771007,1.5,nan,3,4,3,1.3333333333333333,False,5.695794243365526e-05,0.00024066702462732792,10,10,8,19,1154,1.38014625243739
point,8,3,3,1789021555,1.5,nan,3,3,3,1.0,True,5.587493069469929e-05,0.00019175000488758087,9,9,7,23,791,1.4370194833412286
point,8,3,4,1392762751,1.5,nan,3,4,3,1.3333333333333333,False,6.13329466432333e-05,0.0001586669823154807,10,10,8,22,522,1.2223019963274613
point,8,3,5,1037554878,1.5,nan,3,3,3,1.0,True,5.304196383804083e-05,0.00018808396998792887,9,9,7,22,753,1.261343828492963
point,8,3,6,354724612,1.5,nan,3,5,3,1.6666666666666667,False,6.487499922513962e-05,0.0002092089271172881,11,11,8,19,928,1.420055903406504
point,8,3,7,1699062428,1.5,nan,3,4,3,1.3333333333333333,False,5.491694901138544e-05,0.00018741702660918236,10,10,8,21,723,1.3556039695044806
point,8,3,8,1778233475,1.5,nan,3,3,2,1.5,False,4.900002386420965e-05,0.00012591690756380558,7,7,7,24,116,1.4382813913969859
point,8,3,9,1843659332,1.5,nan,3,4,2,2.0,False,5.737494211643934e-05,0.00012891599908471107,10,10,8,24,140,1.4642207143640977
point,8,3,10,153456944,1.5,nan,3,2,1,2.0,False,4.766706842929125e-05,0.00011270900722593069,6,6,5,24,8,1.1282222626234404
point,8,3,11,1868480189,1.5,nan,3,3,2,1.5,False,5.620904266834259e-05,0.000130208907648921,8,8,7,22,182,1.2025375415813055
point,8,3,12,1083972376,1.5,nan,3,3,3,1.0,True,6.262504030019045e-05,0.00033291708678007126,8,8,8,23,783,1.4025749021132583
point,8,3,13,82299049,1.5,nan,3,3,3,1.0,True,5.9666112065315247e-05,0.00014858308713883162,9,9,8,23,341,1.3094930606727928
point,8,3,14,318339434,1.5,nan,3,4,3,1.3333333333333333,False,5.9833982959389687e-05,0.000202000024728477,9,9,8,23,775,1.4749259290953365
point,10,2,0,840177581,1.5,nan,2,4,2,2.0,False,5.849997978657484e-05,0.000156833091750741,11,11,10,26,129,1.4082181407780503
point,10,2,1,1697939399,1.5,nan,2,4,2,2.0,False,6.237498018890619e-05,0.000153415952809155,8,8,7,31,154,1.3256340947478895
point,10,2,2,1033555365,1.5,nan,2,3,2,1.5,False,5.6999968364834785e-05,0.00016675004735589027,9,9,7,30,269,1.4330279201766318
point,10,2,3,1908487005,1.5,nan,2,3,2,1.5,False,5.037500523030758e-05,0.0001557499635964632,6,6,6,33,172,1.2842658577728638
point,10,2,4,387546532,1.5,nan,2,2,2,1.0,True,5.037500523030758e-05,0.00016883306670933962,6,6,6,31,316,1.34674225626269
point,10,2,5,291067996,1.5,nan,2,3,2,1.5,False,5.012506153434515e-05,0.00014829193241894245,8,8,9,30,149,1.3895175113165177
point,10,2,6,1199078379,1.5,nan,2,3,2,1.5,False,5.7124998420476913e-05,0.00016091694124042988,9,9,9,31,238,0.9726051034617225
point,10,2,7,88750563,1.5,nan,2,2,2,1.0,True,5.508295726031065e-05,0.00015524995978921652,8,8,7,34,182,1.2162185652146817
point,10,2,8,1482499131,1.5,nan,2,3,2,1.5,False,5.1875016652047634e-05,0.00014887505676597357,7,7,6,29,143,1.1463025802071343
point,10,2,9,751635043,1.5,nan,2,3,2,1.5,False,5.650008097290993e-05,0.00014995899982750416,9,9,8,30,149,1.4837987623906468
point,10,2,10,2034523235,1.5,nan,2,3,2,1.5,False,4.962494131177664e-05,0.00019770790822803974,7,7,6,32,101,1.181937918821089
point,10,2,11,1131090244,1.5,nan,2,2,2,1.0,True,4.62500611320138e-05,0.00012858398258686066,8,8,6,27,138,1.4741667089477648
point,10,2,12,1110461013,1.5,nan,2,3,2,1.5,False,4.725006874650717e-05,0.0001425000373274088,9,9,7,30,291,1.4252754029122698
point,10,2,13,127426207,1.5,nan,2,2,2,1.0,True,4.900002386420965e-05,0.00013449997641146183,8,8,7,34,180,1.448781262301864
point,10,2,14,1307255539,1.5,nan,2,4,2,2.0,False,5.720905028283596e-05,0.0001525420229882002,10,10,8,30,395,1.2250703231264062
point,10,3,0,340360239,1.5,nan,3,3,2,1.5,False,5.41249755769968e-05,0.00013191706966608763,9,9,9,28,148,1.2217380621273968
point,10,3,1,547286993,1.5,nan,3,4,3,1.3333333333333333,False,4.9791065976023674e-05,0.0002999169519171119,10,10,8,27,1639,1.4198773125298807
point,10,3,2,1266196622,1.5,nan,3,4,2,2.0,False,5.124998278915882e-05,0.00013712502550333738,9,9,8,32,221,1.4977330857821975
point,10,3,3,1276518931,1.5,nan,3,3,2,1.5,False,4.900002386420965e-05,0.000134957954287529,8,8,7,31,192,1.369503865099424
point,10,3,4,2042951959,1.5,nan,3,2,2,1.0,True,4.3625012040138245e-05,0.0001234590308740735,8,8,7,31,99,1.261138303150838
point,10,3,5,333730680,1.5,nan,3,3,3,1.0,True,5.154102109372616e-05,0.00029420899227261543,8,8,7,32,1573,1.3382350579545434
point,10,3,6,1655390580,1.5,nan,3,3,3,1.0,True,4.3708947487175465e-05,0.00021208298858255148,9,9,8,30,956,1.2292173767892915
point,10,3,7,2006394146,1.5,nan,3,3,2,1.5,False,4.51250234618783e-05,0.0001265000319108367,8,8,7,33,135,1.471929255382312
point,10,3,8,20291933,1.5,nan,3,5,3,1.6666666666666667,False,5.1958952099084854e-05,0.0002462920965626836,11,11,9,28,1198,1.27815347967908
point,10,3,9,467738231,1.5,nan,3,3,2,1.5,False,4.612491466104984e-05,0.00012983300257474184,10,10,9,31,180,1.4897748667563047
point,10,3,10,1674097168,1.5,nan,3,4,3,1.3333333333333333,False,4.458299372345209e-05,0.0002805410185828805,9,9,9,28,1473,1.4886750322789482
point,10,3,11,1162222139,1.5,nan,3,4,3,1.3333333333333333,False,5.3333002142608166e-05,0.0003392919898033142,11,11,10,29,2035,1.4491895885199728
point,10,3,12,551646699,1.5,nan,3,4,3,1.3333333333333333,False,4.6208035200834274e-05,0.00022020796313881874,10,10,9,27,820,1.3214772111639892
point,10,3,13,182592079,1.5,nan,3,4,3,1.3333333333333333,False,6.441702134907246e-05,0.00037450005766004324,11,11,10,27,1635,1.4930093726834661
point,10,3,14,372730844,1.5,nan,3,4,3,1.3333333333333333,False,7.045792881399393e-05,0.0004070419818162918,10,10,10,28,1895,1.0799636400659445
disk,6,2,0,1891951899,1.5,0.8,2,3,2,1.5,False,6.258301436901093e-05,0.0001022910000756383,7,7,5,17,38,0.911263851823042
disk,6,2,1,1876081609,1.5,0.8,2,2,2,1.0,True,5.64999645575881e-05,0.00010366598144173622,5,5,4,14,23,1.3009605078906616
disk,6,2,2,1803059730,1.5,0.8,2,2,2,1.0,True,5.3208088502287865e-05,0.00010358297731727362,5,5,4,16,42,1.0595136994156482
